"question","answer","intent"
"I cannot access my account","Please verify your login details or reset your password.","account"
"How can I change my password?","You can reset your password using the Forgot Password option.","account"
"My password is not working","Please use the Forgot Password option to reset your password.","account"
"I am locked out of my account","Please verify your login details and reset your password if needed.","account"
"Why can't I login to my account?","Please verify your email and password. You can also reset your password.","account"
"I need help with my account","Please verify your account credentials and contact support if the problem continues.","account"
"How can I recover my account?","You can reset your password using the Forgot Password option.","account"
"I lost access to my account","Please verify your login details or reset your password.","account"

"How can I contact support?","You can contact our customer support team for further assistance.","contact_support"
"I want to talk to an agent","I'll connect you with a support agent for further assistance.","contact_support"
"Can I speak to customer support?","Yes, our customer support team can assist you.","contact_support"
"I need to contact an agent","I'll help you connect with a support agent.","contact_support"
"How do I reach customer service?","You can contact our customer support team for assistance.","contact_support"
"I want to speak with a support representative","I'll help you connect with a support agent.","contact_support"
"Can I talk to a real person?","Yes, our customer support team can assist you.","contact_support"
"How do I contact an agent?","I'll help you connect with a support agent.","contact_support"
"I need help from customer service","You can contact our customer support team for further assistance.","contact_support"
"Where can I contact support?","You can contact our customer support team for assistance.","contact_support"
"I need to speak to someone","I'll help you connect with a support agent.","contact_support"
"Can I talk to customer service?","Yes, our customer support team can assist you.","contact_support"
"I want customer support","You can contact our customer support team for further assistance.","contact_support"
"How can I reach an agent?","I'll help you connect with a support agent.","contact_support"
"Please connect me to support","I'll help you connect with a support agent for further assistance.","contact_support"
